image,status,boxes,difficulty,notes
stamp-source-03,reviewed,12,easy,"sports page; mixed shapes"
stamp-source-05,reviewed,7,easy,"USA page; printed text excluded"
stamp-source-06,reviewed,12,easy,"Netherlands page"
stamp-source-07,reviewed,12,easy,"Netherlands page variant"
stamp-source-12,reviewed,10,medium,"postal cover and cancellation excluded"
stamp-source-14,reviewed,22,medium,"sparse mixed album page"
stamp-source-15,reviewed,23,medium,"rotated/sparse album layout"
stamp-source-11,reviewed,59,dense,"dense repeated rows; individual stamps annotated"
stamp-source-13,reviewed,88,dense,"dense repeated definitive page; individual stamps annotated"
stamp-source-01,pending,,dense,"repeated stamps"
stamp-source-02,pending,,medium,"notes and cancellations"
stamp-source-04,pending,,dense,"very dense repeated stamps"
stamp-source-08,pending,,dense,"repeated definitive stamps"
stamp-source-09,pending,,dense,"mixed dense page"
stamp-source-10,in-review,,dense,"mixed Australia page; irregular mixed layouts require final review"
stamp-source-16,pending,,dense,"Canada mixed rows"
stamp-source-17,pending,,dense,"dense repeated modern stamps"
stamp-source-18,pending,,dense,"mixed dense page"
stamp-source-19,pending,,dense,"very dense repeated red stamps"
stamp-source-20,pending,,dense,"mixed modern page"
